,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.25,0.25,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.46153846153846156,0.5188745216627708,13.0,0.8461538461538461,0.3755338080994054,13.0,0.46153846153846156,0.5188745216627708
"1(p,(p,(e)))2p",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.14102564102564102,0.19059062496562187,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.07692307692307693,0.2773500981126145,13.0,0.8461538461538461,0.3755338080994054,13.0,0.07692307692307693,0.2773500981126145
"10(i,(n,(p,(e))),(p,(p,(e))))pin",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.06969099276791585,0.14394568866686758,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.019230769230769232,0.046941726012425675,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.023668639053254434,0.08533849172695832,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.09026569207564682,0.15094827675293476,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.07692307692307693,0.2773500981126146
"5(p,(u,(p,(e)),(p,(e))))up",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.058741258741258746,0.1229019735598054,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.07692307692307693,0.2773500981126145
"6(i,(p,(e)),(p,(e)))2i",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0880999342537804,0.17666291810634668,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.06132329209252285,0.12024969288798673,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.15384615384615385,0.3755338080994054
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.020512820512820513,0.07396002616336388,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
all,169.0,0.0,0.0,169.0,0.0,0.0,169.0,0.0,0.0,169.0,0.06327377228873922,0.1421025792892833,169.0,0.0,0.0,169.0,0.0,0.0,169.0,0.0,0.0,169.0,0.0,0.0,169.0,0.04142011834319527,0.19985201625794735,169.0,0.1301775147928994,0.33749863028431243,169.0,0.0650887573964497,0.24741549385404701
