,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",13.0,0.18543422551781213,0.3323941068494127,13.0,0.1738296425796426,0.30872894137079593,13.0,0.2320995312930797,0.3853475813001135,13.0,0.5256410256410257,0.14978617237881953,13.0,0.15270411955194566,0.3032055999252282,13.0,0.18543422551781213,0.3323941068494127,13.0,0.24337582859982035,0.38028402246573567,13.0,0.15270411955194566,0.3032055999252282,13.0,0.9230769230769231,0.2773500981126145,13.0,1.0,0.0,13.0,0.9230769230769231,0.2773500981126145
"1(p,(p,(e)))2p",17.0,0.1208924949290061,0.33115225677086985,17.0,0.16122004357298472,0.3628734716940486,17.0,0.11933254677229058,0.3315434216561997,17.0,0.6568627450980392,0.12105709504790665,17.0,0.11931581143095536,0.33154829210041753,17.0,0.1208924949290061,0.33115225677086985,17.0,0.16121981174923383,0.3628729145947483,17.0,0.11931581143095536,0.33154829210041753,17.0,0.9411764705882353,0.24253562503633297,17.0,1.0,0.0,17.0,0.9411764705882353,0.24253562503633297
"10(i,(n,(p,(e))),(p,(p,(e))))pin",12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.008658008658008656,0.039675980042907705,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0
all,221.0,0.020207318305541455,0.12943316958922782,221.0,0.022626814906226672,0.13436942390654938,221.0,0.022832340280266858,0.14090351034857249,221.0,0.08227067050596462,0.21285700528715498,221.0,0.018160734608604227,0.12310861851988952,221.0,0.020207318305541455,0.12943316958922782,221.0,0.026717749192464432,0.149184685031191,221.0,0.018160734608604227,0.12310861851988952,221.0,0.12669683257918551,0.33338817593543746,221.0,0.13574660633484162,0.343296862059347,221.0,0.12669683257918551,0.33338817593543746
