,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",137.0,0.5777178492920771,0.4816693801105313,137.0,0.5955123672088183,0.48241432019996056,137.0,0.5776563208746576,0.48079383588391894,137.0,0.6678832116788321,0.3028300273682974,137.0,0.5689649374508191,0.48520724376995805,137.0,0.5777178492920771,0.4816693801105313,137.0,0.6011888738979357,0.4789301765621431,137.0,0.5689649374508191,0.48520724376995805,137.0,0.708029197080292,0.45633746448675844,137.0,1.0,0.0,137.0,0.708029197080292,0.45633746448675844
"1(p,(p,(e)))2p",137.0,0.42997923927961995,0.46353730029087176,137.0,0.43884508936033195,0.45909318969291657,137.0,0.44855825452309145,0.4766100217617111,137.0,0.7195863746958637,0.18821375921911568,137.0,0.40854582025413444,0.4620540375017757,137.0,0.42997923927961995,0.46353730029087176,137.0,0.47058837816402904,0.47205812052604973,137.0,0.40854582025413444,0.4620540375017757,137.0,0.9635036496350365,0.1882097986168779,137.0,1.0,0.0,137.0,0.9635036496350365,0.1882097986168779
"10(i,(n,(p,(e))),(p,(p,(e))))pin",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0032441200324412004,0.02675097592684238,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",137.0,0.0029507687529119427,0.03453786275876268,137.0,0.0072992700729927005,0.0854357657716761,137.0,0.0018491484184914844,0.021643727328824622,137.0,0.003128258602711157,0.027211066907902863,137.0,0.0018491484184914844,0.021643727328824622,137.0,0.0029507687529119427,0.03453786275876268,137.0,0.007299266231273632,0.08543572080550724,137.0,0.0018491484184914844,0.021643727328824622,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",137.0,0.0022835997339382655,0.022444646914929308,137.0,0.014598540145985401,0.12037939167079065,137.0,0.001286089625806549,0.012823104014000867,137.0,0.005474452554744526,0.03344707854383127,137.0,0.001286089625806549,0.012823104014000867,137.0,0.0022835997339382655,0.022444646914929308,137.0,0.014598532441204404,0.12037932813725652,137.0,0.001286089625806549,0.012823104014000867,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",137.0,0.0006635700066357001,0.0077668877974251,137.0,0.00034758428919012856,0.004068369798651241,137.0,0.0072992700729927005,0.0854357657716761,137.0,0.006354658651781881,0.052574946234740814,137.0,0.00034758428919012856,0.004068369798651241,137.0,0.0006635700066357001,0.0077668877974251,137.0,0.00729919708102189,0.08543491142256188,137.0,0.00034758428919012856,0.004068369798651241,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0,137.0,0.0,0.0
all,1781.0,0.0779688482357833,0.26098589270432626,1781.0,0.08127714239056294,0.2666066676394042,1781.0,0.0797422371934646,0.2653948825294974,1781.0,0.1081285443243365,0.26947277217254745,1781.0,0.07546104461834166,0.2577091180170531,1781.0,0.0779688482357833,0.26098589270432626,1781.0,0.08469032675503574,0.27291762122819774,1781.0,0.07546104461834166,0.2577091180170531,1781.0,0.12857944974733296,0.3348278997878258,1781.0,0.15384615384615385,0.3609025467188841,1781.0,0.12857944974733296,0.3348278997878258
