,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",6876.0,0.7393137685326592,0.4213086383060473,6876.0,0.7460475978155976,0.4196103254698133,6876.0,0.7462983475703361,0.4218581878841282,6876.0,0.7752981384525887,0.34258947366224,6876.0,0.728963918739406,0.4280850505661214,6876.0,0.7393137685326592,0.4213086383060473,6876.0,0.7604068268800135,0.41555636249109534,6876.0,0.728963918739406,0.4280850505661214,6876.0,0.8532577079697499,0.35387455966336756,6876.0,0.8999418266433973,0.3000993718404033,6876.0,0.8532577079697499,0.35387455966336756
"1(p,(p,(e)))2p",6876.0,0.6766967358776061,0.42819459078364813,6876.0,0.7156582278799514,0.4299190360866974,6876.0,0.6804613871532115,0.4337976594266931,6876.0,0.7660728136513476,0.2218770494329637,6876.0,0.6514108278948281,0.4359415730229083,6876.0,0.6766967358776061,0.42819459078364813,6876.0,0.741342105394383,0.426118119863879,6876.0,0.6514108278948281,0.4359415730229083,6876.0,0.9432809773123909,0.23132176131624127,6876.0,0.9607329842931938,0.19424367293186148,6876.0,0.9432809773123909,0.23132176131624127
"10(i,(n,(p,(e))),(p,(p,(e))))pin",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",6876.0,0.0002795645122879914,0.015839355745421307,6876.0,0.0004363001745200698,0.020884761210819135,6876.0,0.0002581669984741665,0.014985791949448038,6876.0,0.00036205795368099035,0.012633262079635041,6876.0,0.0002581669984741665,0.014985791949448038,6876.0,0.0002795645122879914,0.015839355745421307,6876.0,0.00043629979299385013,0.02088474294797081,6876.0,0.0002581669984741665,0.014985791949448038,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,3.23185314459311e-05,0.002679905945527492,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
all,89388.0,0.10894538991711948,0.3052449988072016,89388.0,0.11247247122077454,0.31201629066702263,89388.0,0.1097706078247709,0.30755539281222366,89388.0,0.11859733296838948,0.3002381421358951,89388.0,0.10620253181790063,0.3016089117435322,89388.0,0.10894538991711948,0.3052449988072016,89388.0,0.11555271015903004,0.3173069670937121,89388.0,0.10620253181790063,0.3016089117435322,89388.0,0.1381952834832416,0.3451067653423577,89388.0,0.143128831610507,0.35020614103285685,89388.0,0.1381952834832416,0.3451067653423577
