,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",644.0,0.8349006796836791,0.3533756705460893,644.0,0.8373538606263762,0.35361645913016554,644.0,0.8429008971803449,0.3505576488026267,644.0,0.8372153209109731,0.30777120245439077,644.0,0.8257971063949343,0.3622020832981959,644.0,0.8349006796836791,0.3533756705460893,644.0,0.8517813176593684,0.34470872817089443,644.0,0.8257971063949343,0.3622020832981959,644.0,0.9037267080745341,0.2951949454733317,644.0,0.9254658385093167,0.26284234211672325,644.0,0.9037267080745341,0.2951949454733317
"1(p,(p,(e)))2p",710.0,0.8332226201087592,0.33107904017967815,710.0,0.8605816328908106,0.3270156215059502,710.0,0.8349538646329807,0.3340330675594339,710.0,0.8164553990610328,0.18445598687403408,710.0,0.8116818151650786,0.3476179968360618,710.0,0.8332226201087592,0.33107904017967815,710.0,0.881621799627006,0.3123186945571853,710.0,0.8116818151650786,0.3476179968360618,710.0,0.9816901408450704,0.13416393058260348,710.0,0.9845070422535211,0.12358980257907848,710.0,0.9816901408450704,0.13416393058260348
"10(i,(n,(p,(e))),(p,(p,(e))))pin",707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0,707.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0,683.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0,710.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0,708.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",640.0,0.0005820356190312312,0.01060863076720897,640.0,0.003125,0.05585794076195331,640.0,0.00032234432234432237,0.005898422677821256,640.0,0.0014423076923076924,0.025780588043978446,640.0,0.00032234432234432237,0.005898422677821256,640.0,0.0005820356190312312,0.01060863076720897,640.0,0.0031249985795461003,0.05585791537199177,640.0,0.00032234432234432237,0.005898422677821256,640.0,0.0,0.0,640.0,0.0,0.0,640.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0,714.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0,669.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0,716.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0,635.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0,689.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0,713.0,0.0,0.0
all,8938.0,0.12638583584579194,0.32725966699667725,8938.0,0.1289179733269033,0.33233316662654855,8938.0,0.1270811951264107,0.3288265107371418,8938.0,0.12528228652081863,0.3119801206695545,8938.0,0.12400019306912549,0.3242395425483519,8938.0,0.12638583584579194,0.32725966699667725,8938.0,0.131628848220935,0.3364731943596863,8938.0,0.12400019306912549,0.3242395425483519,8938.0,0.14309688968449316,0.35019121969858347,8938.0,0.14488699932870888,0.35200656226865595,8938.0,0.14309688968449316,0.35019121969858347
