,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",6876.0,0.8448581570954147,0.3411598043140599,6876.0,0.8497200542297443,0.3399864681490801,6876.0,0.85404432831871,0.33827555996408426,6876.0,0.8514155516773317,0.29244399612829114,6876.0,0.8348237172612716,0.3520512168811967,6876.0,0.8448581570954147,0.3411598043140599,6876.0,0.8664973379454112,0.32876718620712453,6876.0,0.8348237172612716,0.3520512168811967,6876.0,0.9124490983129726,0.28266121248767967,6876.0,0.9396451425247236,0.23816044527632946,6876.0,0.9124490983129726,0.28266121248767967
"1(p,(p,(e)))2p",6876.0,0.8148567534952038,0.34217938188125496,6876.0,0.8474296849291737,0.3353695192277861,6876.0,0.8182657325490517,0.34709100472806326,6876.0,0.8043169478378903,0.18358689803321007,6876.0,0.7904273517584147,0.35985438311441237,6876.0,0.8148567534952038,0.34217938188125496,6876.0,0.872386207487727,0.32103034746572334,6876.0,0.7904273517584147,0.35985438311441237,6876.0,0.9796393251890634,0.1412409961224721,6876.0,0.9866201279813845,0.11490331225499599,6876.0,0.9796393251890634,0.1412409961224721
"10(i,(n,(p,(e))),(p,(p,(e))))pin",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",6876.0,0.000758851847840189,0.02599473043941829,6876.0,0.0011634671320535194,0.03409226467944904,6876.0,0.0007036939361477009,0.025003247633790047,6876.0,0.0004556234922727069,0.01397553604626796,6876.0,0.0007036939361477009,0.025003247633790047,6876.0,0.000758851847840189,0.02599473043941829,6876.0,0.0011634662643726264,0.03409223925440489,6876.0,0.0007036939361477009,0.025003247633790047,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",6876.0,0.00029086678301337986,0.01705357660778726,6876.0,0.00029086678301337986,0.01705357660778726,6876.0,0.00029086678301337986,0.01705357660778726,6876.0,7.119117066761046e-05,0.004309778456704485,6876.0,0.00029086678301337986,0.01705357660778726,6876.0,0.00029086678301337986,0.01705357660778726,6876.0,0.0002908657649838569,0.01705351692053559,6876.0,0.00029086678301337986,0.01705357660778726,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",6876.0,0.00014543339150668993,0.012059576754873702,6876.0,0.00014543339150668993,0.012059576754873702,6876.0,0.00014543339150668993,0.012059576754873702,6876.0,6.46370628918622e-05,0.00535981189105498,6876.0,0.00014543339150668993,0.012059576754873702,6876.0,0.00014543339150668993,0.012059576754873702,6876.0,0.00014543334302890892,0.012059572735016115,6876.0,0.00014543339150668993,0.012059576754873702,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"7(i,(p,(e)),(p,(p,(e))))pi",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
all,89388.0,0.12776231250869066,0.3281821817537881,89388.0,0.130673038958884,0.3337233758129887,89388.0,0.12872692730603305,0.33044009632632104,89388.0,0.12740953471085031,0.3138189277193122,89388.0,0.12510700485618106,0.32495073291220616,89388.0,0.12776231250869066,0.3281821817537881,89388.0,0.1338833316004249,0.3387292674598402,89388.0,0.12510700485618106,0.32495073291220616,89388.0,0.14554526334631046,0.3526517133633498,89388.0,0.14817425157739295,0.35527461884272715,89388.0,0.14554526334631046,0.3526517133633498
