,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",6876.0,0.7347943595203347,0.423480741284226,6876.0,0.7396927505992629,0.4230689277570318,6876.0,0.7482731021832457,0.42189826986517365,6876.0,0.7332024432809773,0.39722855929533524,6876.0,0.7242429954768143,0.43027166149656815,6876.0,0.7347943595203347,0.423480741284226,6876.0,0.7611052238761526,0.41618957306309234,6876.0,0.7242429954768143,0.43027166149656815,6876.0,0.7860674810936591,0.4101095666794473,6876.0,0.8163176265270506,0.3872531072339522,6876.0,0.7860674810936591,0.4101095666794473
"1(p,(p,(e)))2p",6876.0,0.7043765184195919,0.42614369350737324,6876.0,0.7194129099891099,0.4263009604260683,6876.0,0.7168878279884263,0.4305422455302825,6876.0,0.6726173162691488,0.33633740090122577,6876.0,0.6854848728401421,0.4337860022464479,6876.0,0.7043765184195919,0.42614369350737324,6876.0,0.7475812724127303,0.42310833636808726,6876.0,0.6854848728401421,0.4337860022464479,6876.0,0.8282431646305992,0.3771963901164851,6876.0,0.8374054682955206,0.3690221601730995,6876.0,0.8282431646305992,0.3771963901164851
"10(i,(n,(p,(e))),(p,(p,(e))))pin",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",6876.0,0.002647796471612883,0.04690702621688984,6876.0,0.002342724062024784,0.04270582207367014,6876.0,0.0037085514834205935,0.06048943641772683,6876.0,0.0018333421474782733,0.027056034539372203,6876.0,0.002318485163440336,0.0424699684223744,6876.0,0.002647796471612883,0.04690702621688984,6876.0,0.0037085349718084834,0.06048916592696913,6876.0,0.002318485163440336,0.0424699684223744,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0004363001745200698,0.020884761210819162
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.006357516828721018,0.04193403067016122,6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.02181500145433634,0.14608971135331325,6876.0,0.02181500872600349,0.14608976004988414,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",6876.0,0.0008912514258465917,0.02803443612490645,6876.0,0.0009435279832312991,0.0296396973258362,6876.0,0.0010346524260619844,0.029800410049444927,6876.0,0.0008362420011634672,0.012625434950924936,6876.0,0.0008180193865220801,0.026569495415720373,6876.0,0.0008912514258465917,0.02803443612490645,6876.0,0.0011484021114119875,0.032546314537750407,6876.0,0.0008180193865220801,0.026569495415720373,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",6876.0,0.00014543339150668993,0.012059576754873695,6876.0,0.00014543339150668993,0.012059576754873695,6876.0,0.00014543339150668993,0.012059576754873695,6876.0,6.712310377231843e-05,0.0055659585022493985,6876.0,0.00014543339150668993,0.012059576754873695,6876.0,0.00014543339150668993,0.012059576754873695,6876.0,0.00014543330061087705,0.01205956921764295,6876.0,0.00014543339150668993,0.012059576754873695,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,3.8782237735117314e-05,0.0032158871346329994,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",6876.0,1.3221217409699086e-05,0.001096325159533968,6876.0,7.271669575334497e-06,0.0006029788377436835,6876.0,7.271669575334496e-05,0.006029788377436851,6876.0,5.2884869638796336e-05,0.003100650292324954,6876.0,6.925399595556663e-06,0.0005742655597558876,6876.0,1.3221217409699086e-05,0.001096325159533968,6876.0,7.27163321716841e-05,0.006029758228645705,6876.0,6.925399595556663e-06,0.0005742655597558876,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.005364876220024561,0.04980932594363262,6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.00029086637095302907,0.017053552448617955,6876.0,0.00029086678301337986,0.017053576607787255,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.011634671320535195,0.10724261452467618
"7(i,(p,(e)),(p,(p,(e))))pi",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",6876.0,0.007040410049914265,0.07959115206113455,6876.0,0.007307750907227347,0.08286567090803142,6876.0,0.007225032737553277,0.07972688544283019,6876.0,0.0037141450754016197,0.03393193039023504,6876.0,0.006572573236590237,0.07624709109963729,6876.0,0.007040410049914265,0.07959115206113455,6876.0,0.007864252376328283,0.08593941514633387,6876.0,0.006572573236590237,0.07624709109963729,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0007271669575334497,0.026958187598136844
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",6876.0,0.00045904744857624437,0.0171168087828335,6876.0,0.00039554686151544794,0.017403985362398764,6876.0,0.0012021864116104953,0.03145259660824968,6876.0,0.0007115048999865753,0.014659999951037162,6876.0,0.00036062585459789126,0.015460433908635194,6876.0,0.00045904744857624437,0.0171168087828335,6876.0,0.0012361782044170502,0.03245007959166343,6876.0,0.00036062585459789126,0.015460433908635194,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
all,89388.0,0.11326722411183152,0.31158461527783265,89388.0,0.1147964454594208,0.31455062416631036,89388.0,0.11543502914050731,0.3160070757825191,89388.0,0.10959970591800368,0.2923859082622134,89388.0,0.11092736971217125,0.3086670574443899,89388.0,0.11326722411183152,0.31158461527783265,89388.0,0.11884368318545543,0.32132758732826067,89388.0,0.11092736971217125,0.3086670574443899,89388.0,0.1241777419787891,0.3297860625937188,89388.0,0.12720946883250547,0.3332093365553948,89388.0,0.12516221416744977,0.33090460753039763
