,f1,f1,f1,rec,rec,rec,prec,prec,prec,smatch,smatch,smatch,jaccard,jaccard,jaccard,dice,dice,dice,overlap,overlap,overlap,tanimoto,tanimoto,tanimoto,validity,validity,validity,enumber,enumber,enumber,pnumber,pnumber,pnumber
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0(p,(e))1p",6876.0,0.7918766691668829,0.3907935393372951,6876.0,0.7942057770407175,0.391270323173661,6876.0,0.8031992422864556,0.38758134390135196,6876.0,0.7818499127399651,0.37644748403220096,6876.0,0.7835778446309967,0.3975109303642875,6876.0,0.7918766691668829,0.3907935393372951,6876.0,0.8118759692191159,0.382920013311709,6876.0,0.7835778446309967,0.3975109303642875,6876.0,0.825043630017452,0.37995741137630307,6876.0,0.8436591041303083,0.3632046329180061,6876.0,0.825043630017452,0.37995741137630307
"1(p,(p,(e)))2p",6876.0,0.7872070025617156,0.3789469861597826,6876.0,0.7986661084728555,0.37796174138607397,6876.0,0.8012354501991305,0.3804190564568748,6876.0,0.7231602675974403,0.3098781264888143,6876.0,0.7703971174572891,0.390817110714374,6876.0,0.7872070025617156,0.3789469861597826,6876.0,0.826988902911166,0.3678225890118025,6876.0,0.7703971174572891,0.390817110714374,6876.0,0.8768179173938336,0.3286699977529445,6876.0,0.8810354857475277,0.32377029508116134,6876.0,0.8768179173938336,0.3286699977529445
"10(i,(n,(p,(e))),(p,(p,(e))))pin",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"11(u,(p,(e)),(p,(e)))2u",6876.0,0.004002744614718296,0.05784645625653435,6876.0,0.003603948801850265,0.053512739778119996,6876.0,0.005597690316276703,0.07428104158575355,6876.0,0.002497341066276494,0.031766485617076526,6876.0,0.0035257558041164234,0.05267954054100936,6876.0,0.004002744614718296,0.05784645625653435,6876.0,0.005669174224188192,0.07485529496321792,6876.0,0.0035257558041164234,0.05267954054100936,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.00029086678301337986,0.017053576607787252
"12(i,(i,(p,(e)),(p,(e))),(p,(e)))3i",6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.006856145599601096,0.04372836726478064,6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.023996501599769973,0.15304923441032123,6876.0,0.02399650959860384,0.15304928542673277,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"13(i,(i,(n,(p,(e))),(p,(e))),(p,(e)))3in",6876.0,0.0025633262868636876,0.04743585441660092,6876.0,0.00264142086997179,0.04981201491325994,6876.0,0.003337662157656266,0.05398166323838271,6876.0,0.0012079051127916747,0.01591749952645281,6876.0,0.0023554714740428653,0.04522370822605264,6876.0,0.0025633262868636876,0.04743585441660092,6876.0,0.003598254332973215,0.05784782212141439,6876.0,0.0023554714740428653,0.04522370822605264,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"3(p,(i,(p,(e)),(p,(e))))ip",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"4(p,(i,(n,(p,(e))),(p,(e))))inp",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,2.2374367924106146e-05,0.0018553195007497973,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"5(p,(u,(p,(e)),(p,(e))))up",6876.0,7.93273044581945e-05,0.0026844605327892403,6876.0,4.363001745200699e-05,0.0014764532930340813,6876.0,0.0004363001745200698,0.014764532930340822,6876.0,0.00020340334476460126,0.006525331712346503,6876.0,4.155239757333998e-05,0.0014061459933657932,6876.0,7.93273044581945e-05,0.0026844605327892403,6876.0,0.0004362979930301047,0.014764459108045268,6876.0,4.155239757333998e-05,0.0014061459933657932,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"6(i,(p,(e)),(p,(e)))2i",6876.0,0.0010274165399988741,0.03190190448618103,6876.0,0.0010228815202637193,0.031895093596849555,6876.0,0.0011634671320535194,0.034092264679449064,6876.0,0.005344309881831696,0.05014234242006568,6876.0,0.0010228815202637193,0.031895093596849555,6876.0,0.0010274165399988741,0.03190190448618103,6876.0,0.0011634650232848918,0.03409220288784698,6876.0,0.0010228815202637193,0.031895093596849555,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.010616637579988365,0.10249610934108562
"7(i,(p,(e)),(p,(p,(e))))pi",6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
"8(i,(n,(p,(e))),(p,(e)))2in",6876.0,0.014172589634655062,0.11224480075384465,6876.0,0.014758966069210984,0.11736114569571658,6876.0,0.014970253226416812,0.1141861326865609,6876.0,0.006854692718567063,0.046413135163248395,6876.0,0.013190059729739172,0.10728234289927509,6876.0,0.014172589634655062,0.11224480075384465,6876.0,0.016356966277913984,0.12350790615265321,6876.0,0.013190059729739172,0.10728234289927509,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0013089005235602095,0.036157674694518346
"9(i,(n,(p,(p,(e)))),(p,(e)))pni",6876.0,0.0008109278431681297,0.024521995219260722,6876.0,0.0007187765695619099,0.024438324217019382,6876.0,0.0017896513428197849,0.03880223817599107,6876.0,0.0008233767396071061,0.01589382540614411,6876.0,0.000689256782414392,0.02328875010993065,6876.0,0.0008109278431681297,0.024521995219260722,6876.0,0.001817910281490123,0.0395008785202083,6876.0,0.000689256782414392,0.02328875010993065,6876.0,0.0,0.0,6876.0,0.0,0.0,6876.0,0.0,0.0
all,89388.0,0.12505665488854342,0.32625939230672496,89388.0,0.1261275399200375,0.32848282721767075,89388.0,0.1273635558795333,0.3304727832577573,89388.0,0.11760151762836688,0.3038782723407599,89388.0,0.1229843422611569,0.3238804254267189,89388.0,0.12505665488854342,0.32625939230672496,89388.0,0.1301464186048409,0.3346880352954293,89388.0,0.1229843422611569,0.3238804254267189,89388.0,0.13091242672394504,0.33730644239647134,89388.0,0.13266881460598737,0.33921834787652655,89388.0,0.1318521501767575,0.33833185077676825
